,username,tweet,link,date,language,near
86,StevePopper,Add to the Knicks injury list: Mitchell Robinson (Non CoVid illness) is questionable for tonight’s game at Brooklyn.,https://twitter.com/StevePopper/status/1465762828640477189,2021-11-30 22:21:05,en,New Jersey
87,njdotcom,"Where are masks still required in N.J. as COVID cases, hospitalizations rise?  https://t.co/fvVxkdeHSQ  https://t.co/BqdpwfXD9v",https://twitter.com/njdotcom/status/1465759650524061699,2021-11-30 22:08:27,en,New Jersey
88,bellobass,"@GOP Conservatives, the leading cause of anti-vaxxer bullshit, blame *Biden* for not defeating COVID-19.🙄 #ConservatismIsAMentalDisorder",https://twitter.com/bellobass/status/1465758808240803851,2021-11-30 22:05:07,en,New Jersey
89,NJSpotlightNews,"As more info about the omicron COVID-19 variant surfaces, state officials tell people not to panic, urge booster shots and face coverings in crowds to combat the variant’s spread. For more information take a look at our recent article:",https://twitter.com/NJSpotlightNews/status/1465758719984259081,2021-11-30 22:04:45,en,New Jersey
90,DJSLOfficialNJ,@BankBetterGuy @BankofAmerica Covid and remote work had soo many people sell their first home and move full time into thier margate home. I know this first hand being an electrician in margate,https://twitter.com/DJSLOfficialNJ/status/1465754198050582529,2021-11-30 21:46:47,en,New Jersey
91,NJSpotlightNews,"New Confirmed Cases: 2,352 New Lab-Confirmed Deaths: 42 Transmission (Rt) rate: 1.16 Total vaccine doses administered: 14,157,962  For more, visit our COVID-19 tracking page:  https://t.co/Jaq7ky7l3M  https://t.co/xSucvyAfry",https://twitter.com/NJSpotlightNews/status/1465748541004038157,2021-11-30 21:24:19,en,New Jersey
92,joszt,Merck Releases Updated Data on its COVID-19 Antiviral  https://t.co/f7vY88dE7i  https://t.co/huXmHaCop0,https://twitter.com/joszt/status/1465747958494752768,2021-11-30 21:22:00,en,New Jersey
93,GODJ2,"During the Cole stuff what I was told was the Yankees were fine writing a blank check because of the potential revenue ROI.  The merch, tickets sales, playoff revenue, they thought WS revenue, etc.   Then covid hit and NYY hasn’t  played a home playoff game since Coles signing.",https://twitter.com/GODJ2/status/1465747713820082185,2021-11-30 21:21:01,en,New Jersey
94,JennWalkup,"@RamseyHootman I am really sorry. We have struggled with this greatly as have many kids who need intervention, services, etc. I don’t know what the answer is but this is certainly not it. I hope you can get what you/he needs soon. Just one more major layer of the damage covid times have caused.",https://twitter.com/JennWalkup/status/1465746908778012680,2021-11-30 21:17:49,en,New Jersey
95,TheKangarooCrew,Why Kids Get a Smaller COVID Vaccine Dose - The Atlantic  https://t.co/i50nm3ew5H via @GoogleNews #preK  #education #edtech  #tuesdayvibe   #tuesdaymotivations      #Autism #education    #coronavirus #Read #school #literacy #COVID19,https://twitter.com/TheKangarooCrew/status/1465744827681845263,2021-11-30 21:09:33,en,New Jersey
96,3vil3ddie666,@greg_price11 @ChrisCillizza Over half of their airtime is spent on Trump related BS or Covid fear porn. People are tired of it already.,https://twitter.com/3vil3ddie666/status/1465744801840648206,2021-11-30 21:09:27,en,New Jersey
97,Kyiel_Reese,"This happened to me a few times and would've happened again last year if it weren't for covid. Tf you on about, homie? lol",https://twitter.com/Kyiel_Reese/status/1465744787449987073,2021-11-30 21:09:24,en,New Jersey
98,RECENTORG,What You Can Do About Omicron — And Any Future COVID-19 Variants  https://t.co/Lu4VAWZbhz  https://t.co/Vd9sNkbk2z,https://twitter.com/RECENTORG/status/1465743194742657025,2021-11-30 21:03:04,en,New Jersey
99,starledger,"N.J. reports 2,352 COVID cases, 42 deaths. Hospitalizations surge above 1,000 patients.  https://t.co/KNyDfKRWvC",https://twitter.com/starledger/status/1465742480696090634,2021-11-30 21:00:14,en,New Jersey
100,KingGreen93,Any asshole that still says Covid is fake when I get my strength back I’ll fucking swing on you this shit is brutal,https://twitter.com/KingGreen93/status/1465742114675908615,2021-11-30 20:58:46,en,New Jersey
101,josette_jackson,COVID-19 Infections Among Vaccinated More Common and Severe in Immunocompromised: Study  https://t.co/ilUICvf1kf,https://twitter.com/josette_jackson/status/1465741731727650825,2021-11-30 20:57:15,en,New Jersey
102,tmana,"@NotYour60618318 @RealSpikeCohen Apparently one doctor (South Africa) said very mild, and unusual (for COVID) symptoms (closer to flu-like); another doctor (different African nation) had people with more typical cases. Both said more data are needed to know for sure.",https://twitter.com/tmana/status/1465741259214106629,2021-11-30 20:55:23,en,New Jersey
103,tmana,"@OumuamuaC @EliDervonte @PNMaster_ @RealSpikeCohen Medically, vaccination has never been about ""stopping the spread"", only about saving one's self - until mainstream media started making it a social requirement (largely - but not exclusively - since the COVID sera got EMERGENCY Use Authorization)",https://twitter.com/tmana/status/1465740047773229065,2021-11-30 20:50:34,en,New Jersey
104,DonnyBrook99,"@Deadpilled @1983Attorney @JesseRodriguez From the link: So, while there may seem to be a contradiction in states with lower vaccination rates reporting lower COVID-19 case rates, “there is not a disconnect between vaccination rates and the rates of hospitalization and death,” Bollinger said.",https://twitter.com/DonnyBrook99/status/1465739420041191433,2021-11-30 20:48:04,en,New Jersey
